hcode,name1,name2
436,D10SC4M-7000 B1QK-050036 ﾊｲｼ,09年12月末最終受注
437,ST20-47F2-5103, 
438,D2FL40U-5063, 
439,KC5SF60HRT-5600, 
440,ST02-43G1-5063R, 
441,D1NF60-5084, 
442,K1V6-7000,最終受注2019年3月末
443,PVSｶﾝｼｿｳﾁ ｹﾞﾝﾁｼｮｷｾｯﾃｲ, 
444,ST70-27F-7102, 
445,D2SBA60-7000, 
446,D8L60-7000 ﾊｲｼ,09年12月末最終受注
447,S10WB60-5000, 
448,K1V5-4000,NO.434へ
449,K1V6-4000,廃止
450,K1V10-4000,廃止 NO.415へ
451,M3FE40-5063, 
452,K1V12-4000, 
453,D1FS4-5053  ASD4ｹﾀ, 
454,F35W60C3-7100,所要12月末最終20年9月
455,K1V22-4000, 
456,K1V24-4000, 
457,ST02-280F1-5053, 
458,S60SC3ML-7000 ﾊｲｼ,09年12月末最終受注
459,S2L60-5004 P12.5, 
460,K1V22-7000, 
461,ST04-16F1-5103, 
462,MD5031T-7062,最終受注2020年9月末
463,S3V60-5000 ﾃﾞｰﾀﾂｷ, 
464,DE5L60A-7061, 
465,M1FS4-6063 ASD 4ｹﾀ, 
466,D15AD4SJE-5000, 
467,D15XBN20-7000, 
468,DG1V60-5063, 
469,D2FS4-4063 ﾊｲﾋﾝ, 
470,PVS012T200B-SA ｾｯﾄﾊﾝﾊﾞｲ, 
471,P15F60HP2-5600, 
472,D10JBB80V-7000, 
473,S1NB80-7102, 
474,D20FD60LU-5072, 
475,S16L60-7000 ﾊｲｼ,09年12月末最終受注
476,S1WB(A)20-7062 ﾊｲｼ,09年12月末最終受注
477,D1FK100-5053, 
478,D120LC40-4000,2020年3月末最終受注
479,S1NBC60-7062, 
480,KP15R25-5063, 
481,US6KB80R-7000, 
482,S2L60-5004 P15, 
483,DF30SC3ML-7072, 
484,S20LC20U-7100 ﾊｲｼ,09年12月末最終受注
485,D3FJ10-5063, 
486,D30XBN20-7000, 
487,D3L20U-7000 ﾊｲｼ,09年12月末最終受注
488,D30L60-7000,2020年9月末最終受注
489,2SC4668-7061 ﾊｲﾋﾝ, 
490,K1V22(W)-4000, 
491,ST02-12G1-5063R, 
492,D3S6M-5004 P15, 
493,ST03D-140-4000, 
494,D30SC4M-7000,2020年9月末最終受注
495,K1V14-4000, 
496,S1YB20-7102 ﾊｲｼ,09年12月末最終受注
497,DE5S6M-7071, 
498,DF20L60-7102, 
499,S1VBA60-7101,最終受注2018年6月末
500,S5VB60-5001 L15, 
501,M3FL20U-5063 B1QK-090008,ﾊﾞｰｺｰﾄﾞ付 ﾀﾞｲﾔ向け
502,DE5LC40-7100, 
503,ST04-27F1-5053, 
504,S2V80-5000, 
505,S2V60-5002 P5, 
506,MR4710-7101, 
507,CEP40-60-AGW B1ES-080032, 
508,P25B6EB-5071, 
509,ST02-320F1-5103, 
510,D3S6M-5004 P20, 
511,ST03D-140-7060, 
512,D3SB60-7101,25個単位
513,D1N60-5070, 
514,K1V24-7000, 
515,SF10L60U-7100,167へ統一
516,S20K100V-5000, 
517,D1FK100-5103, 
518,ST03D-140-7000, 
519,DF5VD60-7100, 
520,D1FS4-5053, 
521,D1FL20U-5053, 
522,SG10LC20USM-5600, 
523,US4KB80R-7000,廃止品
524,D2S6M-5060, 
525,D2S6M-5060 G1-I B1QK-100001, 
526,D1FJ4-5063,廃止品
527,M1FS4-6063 B1QK-090008,ﾊﾞｰｺｰﾄﾞ付
528,DF20PC3M-7100,2020年9月末最終受注
529,D1FP3-5063,廃止品
530,ST03D-200-7001 P15, 
531,D10FR60V-5071, 
532,S25VB80-4000, 
533,MA2820P-7100, 
